Name,Former names,Established,President,Academic staff,Administrative staff,Students,Address,Campus,Colours,Affiliations,Website,ASN,Motto,Motto in English,Religious affiliation,Academic affiliations,Endowment,Chancellor,Colors,Type,Chairperson,Location,Nickname,Mascot,"Chair, Board of Governors",Former name,Campuses,Affiliation,Sporting affiliations,Director
Vanier College,,1970 ( 1970 ),,,,9200,,Urban,Red and Gold,"ACCC , CCAA , QSSF",www .vaniercollege .qc .ca,,Fiat Voluntas Dei,,,,,,,College,,"Saint-Laurent , Quebec H4L 3X9 45°30′52.27″N 73°40′30.00″W / 45.5145194°N 73.6750000°W / 45.5145194; -73.6750000",,Cheetah,,,,,,
Saint-Laurent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collège André-Grasset,,1927,Isabelle Foisy,,,,,Urban,Black and Red,"ACCC , CCAA , QSSF",http://www.grasset.qc.ca,,,,,,,,,Private College,,"1001, boulevard Crémazie Est Montreal , Quebec , Canada H2M 1M3 45°33′02″N 73°37′58″W / 45.550617°N 73.632807°W / 45.550617; -73.632807",,,,,,,,Patrick Caron
Institut Grasset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montreal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collège Bart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quebec City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collège International Marie de France,,1939,,,,,,Urban,,,www .cimf .ca,,"Ensemble, prêts pour le monde (French)",,,"ACCC , CCAA ,",,,,private kindergarten through college,,"4635, chemin Queen Mary Montreal , Quebec , Canada H3W 1W3 45°29′24″N 73°37′28″W / 45.49000°N 73.62444°W / 45.49000; -73.62444",,,,,,non-denominational,,
Collège Jean-de-Brébeuf,,1928 ; 96 years ago ( 1928 ),,,,,,Urban,,"ACCC , CCAA , QSSF , AUCC ,",www .brebeuf .qc .ca,,Latin : Viam Veritatis Elegi (I chose the path of truth),,,,,,,Private secondary school and Collegiate,,,,,,,,,,
Collège Laflèche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collège Mérici,,1930,,,,"1,100","755 Grande Allée Ouest, Quebec , Quebec City , Quebec , Canada  46.7956°N 71.233°W46.7956; -71.233",1,,,https://www.merici.ca/,,,,,,,,,Private,,,Les Panthères,,,,,,,Mélanie Lanouette
Collège O'Sullivan de Québec,,1916,,,,,,,,,https://osullivan.edu/en/,,,,,,,,,Private College,,"Montreal , Quebec , Canada",,,,,,,,
Collège Stanislas,,1938,,,,,,Urban,,"ACCC , CCAA , AEFE",www .stanislas .qc .ca,,,,,,,,,private Kindergarten through college,,,Chevaliers,,,,,,,
Outremont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collegial Sainte-Anne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collège Sainte-Anne de Lachine,,1861 ; 163 years ago ( 1861 ),,,,,,,,,secondaire .sainteanne .ca,,Cognosci ut melius facias 1 (To know so as to better do),,,,,,,,,,,Dragon,,,,,,
École de musique Vincent d'Indy,,1920s,,,,,,Urban,,,Official Site,,,,,,,,,Music College,,"628, chemin de la Côte-Sainte-Catherine Montreal , Quebec , Canada H2V 2C5 45°30′42″N 73°36′47″W / 45.5117°N 73.613°W / 45.5117; -73.613",,,,,,,,
Vincent d'Indy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Circus School,,1981,,,,,,,,Cité des Arts du Cirque; Cirque du Soleil and En Piste,ecolenationaledecirque .ca /en /,,,,,,,,,"Circus arts training, academic subjects at the secondary and college , intensive summer camps",,"Montreal, Quebec , Canada",,,,,,,,
LaSalle College,,1959,,,,International & Local,"2000 Sainte-Catherine Street West H3H 2T2 , Montreal , Quebec , Canada  45.49139°N 73.58139°W45.49139; -73.58139",Urban,Blue & Orange,,www .collegelasalle .com,,Make the world your classroom,,,"ACCC , CCAA , CBIE",,,,College,,,,,,,,Non-Denominational,,
Marianopolis College,,1908,,,,"2,100","4873 Westmount Avenue , Westmount , Quebec , H3Y 1X9 , Canada  45.48111°N 73.61167°W45.48111; -73.61167",,,"Association des collèges privés du Québec , CUSID , ACCC , CCAA",www .marianopolis .edu,,Latin : Auspice Maria,,,,,,,Private college,,,,Blue Demon,,,,,,Mr. Christian Corno
O'Sullivan College of Montreal,,1916,,,,,,,,,https://osullivan.edu/en/,,,,,,,,,Private College,,"Montreal , Quebec , Canada",,,,,,,,
Séminaire de Sherbrooke,,,,,,,,,,,www .seminaire-sherbrooke .qc .ca,,,,,,,,,,,,,,,,,,,
Sherbrooke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TAV College,,1989 ( 1989 ),,,,,"6333 Décarie Boulevard , Montreal , Quebec , H3W 3E1 , Canada",,,,tav .ca,,,,,,,,,Private CÉGEP 2,,,,,,Torah and Technology School Torah and Vocational Institute,,,,Elazar Meroz 4
Trebas Institute,,1979,Mohamed Slimani,,,,,"Montreal , Toronto",,,Official website,,,,,,,,,"Private, for-profit",,Canada,,,,,,,,
M College of Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bethany College,,,Darryl Balzer (Sept. 2017-present),0,7,9,,13 acres (5.3 ha),Red,,bethany .sk .ca,,Live. Move. Be,,,CHEC,0,,,College,,"703 2nd Street E, Hepburn , Saskatchewan , Canada 52°31′40″N 106°43′43″W / 52.52778°N 106.72861°W / 52.52778; -106.72861",,,,,,,,
Hepburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briercrest College and Seminary,,1935,Michael B. Pawelke,,,,,Rural area,,"University of Saskatchewan , Minot State University , AUCC , ATS , ABHE .",www.briercrest.ca,,,,,,,,,,,"Caronport , Saskatchewan , Canada 50°27′21.99″N 105°48′53.17″W / 50.4561083°N 105.8147694°W / 50.4561083; -105.8147694",,,,,,,,
Caronport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlton Trail College,,,,,,,,Humboldt Watrous Wynyard,,,www .carltontrailcollege .com,,,,,,,,,Public regional college,,"Saskatchewan , Canada 51°40′31″N 105°27′41″W / 51.6754°N 105.4613°W / 51.6754; -105.4613 (Watrous campus)",,,,,,,,
Humboldt,,,,,,,,,,,Humboldt Collegiate Institute,,,,,,,,,Secondary,,,,,,,,,,
Horizon College and Seminary,,1935,Jeromey Martini,,"Susan Wendel, Dean of Seminary Andrew Gabriel, VP Academics",,"604 Webster Street , Saskatoon , Saskatchewan , Canada",Urban,,,www .horizon .edu,,"""Advancing God’s Kingdom by preparing competent Christian leaders for Spirit-empowered life and ministry""",,,,,,,Private Christian college,,,,,,"Central Pentecostal College, Bethel Bible Institute",,Association for Biblical Higher Education Association of Theological Schools,,
Saskatoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
College Mathieu,,1917,,,,,,,,,www .collegemathieu .sk .ca,,,,,,,,,,,"Gravelbourg , Saskatchewan , Canada 49°52′21″N 106°32′58″W / 49.8725°N 106.5495°W / 49.8725; -106.5495",,,,,,,,
Gravelbourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumberland College,,1974,J. Mark A. Hoddenbagh,,,,,Multiple sites,,"CICan , Saskatchewan Polytechnic , University of Saskatchewan , University of Regina , Lakeland College",http://www.cumberlandcollege.sk.ca/,,"""Educating above and beyond""",,,,,,,Public Regional College,,"Nipawin , Saskatchewan , Canada",,,,,,,,
Eston College,Full Gospel Bible Institute (1944-2005); Full Gospel Bible College (2005-2007),1944,"Sean Steveson-Douglas, President.",,,,"808 Assiniboine Ave E , Regina, Saskatchewan , Canada  51.1480°N 108.7500°W51.1480; -108.7500",,,,www .estoncollege .ca,,To Know the Scriptures and the Power of God to Further the Great Commission,,"ACOP , EFC","ABHE , United Youth Ministries , CCCC , CHEC, CHEA",,,,Bible College,,,Eston Storm,,,,,,PAC .,
Eston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Plains College,,"1973 (as Cypress Hills Regional College), 2008 (as Great Plains College after merger with Prairie West College)",David Keast,,,661 FLE,,Swift Current ; Kindersley ; Warman ; Biggar ; Maple Creek ; Rosetown,Blue & yellow,,www .greatplainscollege .ca,,Make it great,,,"ACCC , Saskatchewan Polytechnic , U of S and U of R , PAC","$192,000",,,"Public, post-secondary, regional college",,"Saskatchewan , Canada",SunDogs,,,,,,,
Lakeland College,Vermilion School of Agriculture Vermilion Agricultural and Vocational College Vermilion College,"November 17, 1913 ( 1913-11-17 )",Alice Wainwright-Stewart,,,"c. 7,000 full & part-time 1","2602 59 Avenue , Lloydminster, Alberta , Canada  53.3502°N 110.8648°W53.3502; -110.8648","Urban/suburban/remote, multiple campuses Lloydminster and Vermilion",,,www .lakelandcollege .ca,,Ever to Excel,,,"ACCC , AACTI , CBIE",,,,Public college,,,Rustlers,Rowdy,,,,,"CCAA , CCAA",
Nipawin Bible College,Two Rivers Bible Institute (1934-1957) Nipawin Bible Institute (1957-2007),1934,Jason Elford,5,11,50,,Rural 110 acres (45 ha),Blue & gold,,www .nipawin .org,,,,,,,,,Private,,"Nipawin , Saskatchewan , Canada 53°20′3.97″N 104°1′50.17″W / 53.3344361°N 104.0306028°W / 53.3344361; -104.0306028",Royals,,,,,,,
Nipawin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North West College,,1975,Dr. Eli Ahlquist,75,60,2600,"10702 Diefenbaker Dr., N. Battleford , North Battleford , Saskatchewan , Canada","Meadow Lake , North Battleford","Blue, Green & Yellow",,http://www.northwestcollege.ca/,,Leaders in Building Community,,,,,,,Public post-secondary Regional College,,,,,,,,,,
Northlands College,,1970 (La Ronge Community College),,,150,800,,Rural,Blue & white,,northlandscollege .ca,,Find Your North,,,"ACCC , AUCC , University of Saskatchewan , University of Regina , Saskatchewan Polytechnic , UArctic",,,,Regional College,,"La Ronge ; Creighton ; Buffalo Narrows , Saskatchewan , Canada",,,,,,,,
Parkland College,,1973,,,220,,,"Urban, Rural",Blur & white,,www .parklandcollege .sk .ca,,Your College. Your Future.,,,CICan Saskatchewan Polytechnic University of Saskatchewan University of Regina Lakeland College Conestoga College,,,,Public College,,"Canora ; Esterhazy ; Fort Qu'Appelle ; Kamsack ; Melville ; Yorkton , Saskatchewan , Canada 51°36′31.55″N 102°16′18.11″W / 51.6087639°N 102.2716972°W / 51.6087639; -102.2716972",,,,,,,,
St Peter's College,,1921,Robert Harasymchuk,,,,,Rural,,University of Saskatchewan,www .stpeterscollege .ca,,"Begin, Belong, Become",,,,,,,Public,,"Muenster , Saskatchewan , Canada",,,,,,,,
Saskatchewan Indian Institute of Technologies,,1976 ( 1976 ),Riel Bellegarde,,,"1,345 (2020–2021) 1",,"Urban ( Saskatoon ), rural",Blue,,www .siit .ca,,,,,,,,,Public comprehensive community college,,"Saskatoon , Saskatchewan , Canada",,Eagle,,Saskatchewan Indian Community College,,"ACCC , CCAA , AUCC ,",,
Saskatchewan Polytechnic,,1959 ; 65 years ago ( 1959 ),Larry S. Rosia,,2700,"14,176 full load equivalent (2018) Saskatoon campus: 7,956; Regina campus: 4,444; Moose Jaw campus: 3,192; Prince Albert campus: 2,883 1","1130 Idylwyld Drive North Saskatoon , Saskatchewan S7K 3R5  52.12833°N 106.66028°W52.12833; -106.66028",Saskatoon Moose Jaw Regina Prince Albert,Purple and grey,"CCAA , ACCC , AUCC , CIS , CWUAA , CBIE, CUP .",www .saskpolytech .ca,,Tomorrow in the making,,,,,,,Polytechnic institution,,,,,,,,,,
Moose Jaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prince Albert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeast College,,1975,Vicky Roy,,,,"Weyburn, SK S4H 0T1 , Weyburn , Saskatchewan , Canada  49.6709°N 103.8600°W49.6709; -103.8600","Assiniboia , Estevan , Indian Head , Moosomin , Weyburn , Whitewood",,,http://www.southeastcollege.org,,,,,,,,,Public post-secondary Regional College,,,,,,,,,,
Western Academy Broadcasting College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yukon School of Visual Arts,,2007,,,,,,,,"OCAD , ECIAD , ACAD , NSCAD , MtA",www.yukonsova.ca,,,,,,,,,Public Art and Design School,,"Dawson City , Yukon , Canada",,,,,,,,
Higher education in Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List of business schools in Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polytechnics Canada,,,,,,,,,,,polytechnicscanada .ca,,,,,,,,,Non-profit,,,,,,,,,,
Open access in Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
v,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Brunswick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newfoundland and Labrador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nova Scotia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ontario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prince Edward Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quebec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saskatchewan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwest Territories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nunavut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yukon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada portal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
